Ticker,Date,SimFinId,Market-Cap,Price to Earnings Ratio (quarterly),Price to Earnings Ratio (ttm),Price to Sales Ratio (quarterly),Price to Sales Ratio (ttm),Price to Book Value,Price to Free Cash Flow (quarterly),Price to Free Cash Flow (ttm),Enterprise Value,EV/EBITDA,EV/Sales,EV/FCF,Book to Market Value,Operating Income/EV
A,2021-03-23,45846,37167002880.0,129.60375,46.38252,24.11233,6.793819999999999,7.820530000000001,208.52447,34.37314,38337002880.0,30.329909999999998,6.93255,35.07503,0.12925,0.02501
AA,2021-03-23,367153,5107016624.0,-1275.03,-30.000709999999998,2.13216,0.54923,1.0167700000000002,18.95955,5.70483,7670016624.0,7.075660000000001,0.8259799999999999,8.57944,0.9821799999999999,0.05619
AAC,2019-11-04,939324,11320970.0,-0.68004,-0.11300999999999999,0.1775,0.04493,24.53116,,,348221970.0,,1.4237799999999998,,0.03957,-0.17744000000000001
AAL,2021-03-23,68568,14245580066.0,-5.84851,-1.21285,3.16316,0.62157,-1.5692700000000002,,,39974580066.0,,2.30574,,-0.48203999999999997,-0.26069000000000003
AAMC,2021-03-23,847094,36705876.0,0.74474,0.7348899999999999,-3.58051,,0.35043,6.875139999999999,-1.46021,-52272124.0,2.59338,,2.611,2.27272,0.39237
AAME,2021-03-23,450021,104929394.0,59.15051999999999,88.209,2.27045,0.5466300000000001,0.81911,,,95989394.0,9.88155,0.49903000000000003,,1.22335,0.08891
AAN,2021-03-23,441241,1612716227.0,23.57035,-5.77551,1.56455,0.39297,1.05883,30.143259999999998,-37.54714,1585460227.0,0.61857,0.38681,-36.95884,0.94325,0.20190999999999998
AAOI,2021-03-23,671827,215999335.0,-14.240020000000001,-3.02643,3.65729,0.75398,0.63658,-9.200560000000001,-2.62628,302597335.0,-12.551219999999999,1.28972,-4.492369999999999,1.28654,-0.16141
AAON,2021-03-23,919501,3662706872.0,193.71143,46.25316,31.359009999999998,7.10215,10.41545,190.24726,44.98961,3583681872.0,29.619159999999997,6.96468,44.1188,0.09579,0.02661
AAP,2021-03-23,184955,11763599123.0,108.52398000000001,25.03244,5.13898,1.22117,3.46719,86.08391999999999,12.21875,11961591123.0,11.961730000000001,1.1835799999999999,11.8426,0.30259,0.06269
AAPL,2021-03-23,111052,2057213283840.0,72.16934,32.91283,18.62211,7.153580000000001,31.77273,48.39734,22.35473,2092430283840.0,24.57086,7.11384,22.23057,0.032189999999999996,0.03549
AAT,2021-03-23,919944,1967202630.0,,,,,,,,,,,,,
AAWW,2021-03-23,762204,1648671016.0,8.52742,4.196269999999999,1.6823700000000001,0.47081999999999996,0.66851,4.6298,1.08191,3598805016.0,3.18875,1.12073,2.57536,1.37173,0.22243000000000002
